Step,Energy_eV_per_atom,NC
99500,-129.716369,0.3236
99600,-130.679446,0.3236
99700,-131.728530,0.3236
99800,-132.241002,0.3236
99900,-132.522690,0.3236
100000,-132.951094,0.3236
100100,-133.543136,0.3275
100200,-133.611898,0.3275
100300,-133.749014,0.3275
100400,-135.252897,0.3275
100500,-135.553780,0.3275
100600,-135.652552,0.3275
100700,-136.915083,0.3275
100800,-136.975740,0.3275
100900,-137.613628,0.3236
101000,-138.154868,0.3236
101100,-139.231748,0.3236
101200,-140.275301,0.3236
101300,-141.361729,0.3236
101400,-141.516981,0.3236
101500,-142.073427,0.3236
101600,-142.090244,0.3236
101700,-143.357103,0.3236
101800,-144.314981,0.3236
101900,-144.452623,0.3236
102000,-144.686054,0.3236
102100,-145.491233,0.3236
102200,-145.771804,0.3236
102300,-146.822724,0.3236
102400,-146.943696,0.3236
102500,-147.227217,0.3236
102600,-147.492301,0.3236
102700,-150.343527,0.3236
102800,-150.509126,0.3236
102900,-150.952510,0.3236
103000,-152.301163,0.3236
103100,-152.467843,0.3236
103200,-152.633157,0.3236
103300,-153.213624,0.3236
103400,-153.474006,0.3236
103500,-153.496588,0.3236
103600,-153.595339,0.3236
103700,-154.071838,0.3236
103800,-154.509858,0.3236
103900,-155.004209,0.3197
104000,-155.028279,0.3197
104100,-155.066140,0.3197
104200,-155.263414,0.3197
104300,-155.692444,0.3197
104400,-155.869628,0.3197
104500,-156.425786,0.3197
104600,-156.713426,0.3197
104700,-156.753138,0.3197
104800,-156.976169,0.3197
104900,-157.118420,0.3197
105000,-157.334921,0.3197
105100,-157.345583,0.3197
105200,-159.429634,0.3197
105300,-160.423093,0.3197
105400,-160.858843,0.3197
105500,-160.876756,0.3197
105600,-161.008182,0.3197
105700,-161.434143,0.3197
105800,-161.526463,0.3197
105900,-162.962850,0.3197
106000,-163.739642,0.3197
106100,-163.960990,0.3197
106200,-164.821681,0.3197
106300,-165.097791,0.3197
106400,-165.604779,0.3197
106500,-167.501924,0.3197
106600,-168.484575,0.3197
106700,-169.264275,0.3197
106800,-169.377417,0.3197
106900,-169.387720,0.3197
107000,-170.050288,0.3197
107100,-170.269421,0.3197
107200,-170.685659,0.3197
107300,-171.654705,0.3197
107400,-171.977185,0.3197
107500,-172.011609,0.3197
107600,-172.310028,0.3197
107700,-172.746777,0.3197
107800,-173.228634,0.3197
107900,-173.324708,0.3197
108000,-173.615170,0.3197
108100,-173.807876,0.3197
108200,-173.814206,0.3197
108300,-174.402248,0.3197
108400,-174.482594,0.3197
108500,-174.494836,0.3197
108600,-178.580251,0.3197
108700,-179.081626,0.3197
108800,-179.152503,0.3197
108900,-179.327976,0.3197
109000,-179.706007,0.3197
109100,-179.988790,0.3197
109200,-183.058895,0.3158
109300,-183.117186,0.3158
109400,-183.135709,0.3158
109500,-183.205913,0.3158
109600,-183.594860,0.3158
109700,-184.177758,0.3158
109800,-184.400119,0.3158
109900,-185.373480,0.3158
110000,-185.799503,0.3158
110100,-187.164163,0.3158
110200,-188.256575,0.3158
110300,-188.261044,0.3158
110400,-188.276558,0.3158
110500,-189.081017,0.3158
