Drift_eV_per_atom
+0.000000
+0.000041
+0.000504
+0.000104
-0.000165
-0.000671
-0.000135
-0.000167
-0.001091
-0.000500
+0.001252
+0.000188
-0.000039
+0.000432
-0.000160
+0.000034
-0.000167
+0.000056
+0.000229
-0.000609
+0.001749
+0.000099
+0.000000
+0.000855
+0.000337
+0.000173
+0.000811
+0.000007
-0.000036
+0.000920
+0.000267
-0.000631
+0.000816
+0.000029
+0.000074
+0.000498
+0.000103
+0.000125
-0.000006
+0.000301
-0.000273
-0.000393
+0.000237
-0.000119
+0.000000
+0.001017
+0.001235
+0.001071
+0.000516
+0.003201
-0.000092
-0.000089
+0.001051
+0.000080
+0.000198
+0.000373
+0.000107
+0.000684
+0.001134
+0.000096
+0.001066
+0.000523
-0.000575
+0.000162
-0.000133
-0.000243
+0.000000
-0.000131
+0.000328
+0.002095
+0.000491
+0.000560
+0.000264
-0.000507
+0.001120
+0.000450
+0.001322
+0.000041
+0.000975
-0.000088
+0.001305
+0.001087
+0.000154
+0.000055
+0.000117
+0.000013
-0.000581
-0.000157
+0.002438
+0.001205
-0.000376
+0.000341
+0.000488
-0.000141
+0.000015
-0.000305
+0.000448
-0.000049
+0.000806
-0.000096
+0.000305
-0.000172
-0.000414
-0.001164
-0.000351
+0.000697
-0.000069
+0.000787
+0.000000
-0.000524
-0.000331
-0.000766
+0.000240
+0.000000
-0.000179
+0.000216
-0.000274
-0.000552
+0.000000
+0.001867
-0.001155
+0.000132
+0.001563
+0.000000
+0.000684
+0.001150
+0.000330
+0.000173
+0.000000
-0.000399
+0.000834
+0.000293
+0.000619
+0.000707
+0.000424
+0.000290
+0.000680
+0.001213
-0.000464
-0.000829
-0.000043
-0.000225
+0.000429
-0.000253
+0.000665
-0.000403
+0.000089
+0.000011
+0.000142
+0.000240
+0.000505
+0.000015
-0.000178
+0.000119
+0.000374
+0.000497
-0.000075
+0.000049
+0.000063
+0.000197
-0.000010
+0.000354
+0.000837
+0.000273
+0.000230
+0.000736
+0.000148
+0.000140
-0.000020
-0.000116
-0.000110
